date,time,rmssd (ms),coverage,hf,lf
2024-06-26,11:40,32.549,1.005,307.435,453.511
2024-06-26,11:45,32.045,0.927,211.39,738.123
2024-06-26,11:50,37.165,0.918,400.739,1695.363
2024-06-26,11:55,35.278,0.951,286.464,1403.815
2024-06-26,12:00,29.056,0.964,249.896,645.238
2024-06-26,12:05,39.65,1.004,589.278,1842.697
2024-06-26,12:10,30.746,0.904,154.464,1114.14
2024-06-26,12:15,35.418,0.992,279.034,860.597
2024-06-26,12:20,41.187,1.003,451.862,655.407
2024-06-26,12:25,34.106,0.907,270.149,1234.245
2024-06-26,12:30,33.41,0.989,235.533,327.946
2024-06-26,12:35,33.742,1.003,333.115,322.207
2024-06-26,12:40,32.42,1.004,319.608,623.446
2024-06-26,12:45,36.805,0.993,401.558,442.119
2024-06-26,12:50,33.806,1.003,299.441,295.805
2024-06-26,12:55,39.605,0.809,366.567,2249.911
2024-06-26,13:00,28.125,0.91,205.575,1358.126
2024-06-26,13:05,32.344,0.982,256.232,309.281
2024-06-26,13:10,34.738,0.943,337.384,879.695
2024-06-26,13:15,34.269,0.967,343.841,544.994
2024-06-26,13:20,30.218,0.912,225.416,608.247
2024-06-26,13:25,34.828,0.937,368.29,121.606
2024-06-26,13:35,40.077,0.797,325.228,1082.219
2024-06-26,13:40,38.236,0.866,493.19,909.769
2024-06-26,13:45,34.45,0.96,346.784,610.888
